Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Canada,61,34,6708,2306,0.91%,1.47%,10.85,12.41
Israel,33,15,1760,430,1.88%,3.49%,9.29,13.08
United States,5,4,1963,1374,0.25%,0.29%,12.38,9.04
Russia,5,4,651,220,0.77%,1.82%,8.94,10.54
Cameroon,5,0,225,38,2.22%,0%,5.62,12.5
France,3,2,200,120,1.5%,1.67%,9.86,15.42
Germany,2,2,264,68,0.76%,2.94%,8.72,8.75
Brazil,2,0,91,78,2.2%,0%,12.25,8.94
Pakistan,2,0,69,30,2.9%,0%,12.49,13.9
Senegal,2,1,55,23,3.64%,4.35%,8.09,9.57
Serbia,2,0,17,1,11.76%,0%,5.71,6
Ukraine,1,1,212,92,0.47%,1.09%,8.99,11.49
Netherlands,1,0,145,28,0.69%,0%,8.23,10.32
United Kingdom,1,0,144,96,0.69%,0%,16.43,18.81
Nigeria,1,1,68,29,1.47%,3.45%,9.66,10.07
Algeria,1,1,63,29,1.59%,3.45%,5.75,11.24
Congo - Kinshasa,1,0,58,4,1.72%,0%,7,4.5
Belgium,1,0,40,19,2.5%,0%,6.47,15.63
Azerbaijan,1,1,37,13,2.7%,7.69%,8.76,17.54
Egypt,1,0,30,12,3.33%,0%,15.53,12.5
Georgia,1,0,28,4,3.57%,0%,7.04,8.5
Switzerland,1,0,27,12,3.7%,0%,9.93,9.83
Burkina Faso,1,0,14,9,7.14%,0%,6.36,15.22
Burundi,1,0,13,6,7.69%,0%,5.54,5.5
India,0,0,197,84,0%,0%,27.97,28.93
Kazakhstan,0,0,168,50,0%,0%,7.67,7.4
Guinea,0,0,126,4,0%,0%,6.06,10.5
Poland,0,0,89,30,0%,0%,10.22,8.7
Belarus,0,0,87,36,0%,0%,6.03,7.31
Uzbekistan,0,0,84,45,0%,0%,8.35,8.04
Philippines,0,0,77,33,0%,0%,21.71,20.33
Kyrgyzstan,0,0,57,9,0%,0%,7.96,7.11
Spain,0,0,52,26,0%,0%,11.02,7.96
Morocco,0,0,50,16,0%,0%,6.2,10.12
Vietnam,0,0,49,58,0%,0%,17.2,13.45
Togo,0,0,47,2,0%,0%,6.04,8
Italy,0,1,46,26,0%,3.85%,8.74,9.73
Côte d’Ivoire,0,0,45,38,0%,0%,8.18,6.76
United Arab Emirates,0,0,45,24,0%,0%,9.58,7.62
Mexico,0,0,45,37,0%,0%,16.11,13.89
Latvia,0,0,41,7,0%,0%,7.22,8.43
China,0,0,40,23,0%,0%,8.1,8.09
Australia,0,0,38,25,0%,0%,8.5,11.48
Unknown Region,0,0,34,16,0%,0%,6.82,6.94
Japan,0,0,33,21,0%,0%,10.12,10.67
Tajikistan,0,0,30,8,0%,0%,7.23,9.62
South Korea,0,0,29,23,0%,0%,10.1,8.78
Turkey,0,0,29,18,0%,0%,12.86,10.17
Benin,0,0,28,5,0%,0%,7.86,9.4
Czechia,0,0,26,12,0%,0%,7.85,9
Indonesia,0,0,26,26,0%,0%,14.69,8.65
Bangladesh,0,0,26,17,0%,0%,14.73,20
Turkmenistan,0,0,25,1,0%,0%,7.76,7
Finland,0,0,24,10,0%,0%,7.21,9
South Africa,0,2,22,8,0%,25%,14.73,23.38
Kenya,0,0,21,0,0%,0%,9.38,0
Thailand,0,0,21,5,0%,0%,11.33,18
Armenia,0,0,20,5,0%,0%,7.2,8
Congo - Brazzaville,0,0,19,4,0%,0%,8.16,12.5
Palestine,0,0,18,7,0%,0%,5.89,12.71
Estonia,0,0,18,8,0%,0%,7.17,7
Austria,0,0,18,3,0%,0%,7.61,9
Argentina,0,2,18,14,0%,14.29%,17.39,12.36
Haiti,0,0,17,7,0%,0%,5.88,12.43
Saudi Arabia,0,0,17,9,0%,0%,11.53,24
Colombia,0,0,17,23,0%,0%,18.94,16.48
Hong Kong,0,0,16,5,0%,0%,9.5,6
Lithuania,0,0,16,8,0%,0%,10.5,6.62
Sweden,0,0,15,9,0%,0%,9.67,8.67
Portugal,0,0,14,2,0%,0%,4.86,8.5
Romania,0,0,14,4,0%,0%,10.21,10
Ireland,0,0,14,11,0%,0%,12.14,10.45
Singapore,0,0,14,14,0%,0%,12.64,18
Iran,0,0,13,3,0%,0%,10.08,12.33
Iraq,0,0,13,6,0%,0%,31.69,16.67
Qatar,0,0,12,3,0%,0%,9.83,3
Norway,0,0,12,5,0%,0%,14.08,10.2
Malaysia,0,0,12,13,0%,0%,17,12.62
Bulgaria,0,0,11,5,0%,0%,8.82,6.2
New Zealand,0,0,11,13,0%,0%,12.09,9.38
Chile,0,0,11,11,0%,0%,13.55,16.27
Rwanda,0,0,10,2,0%,0%,8.9,9
Jamaica,0,0,9,3,0%,0%,5.56,14.33
Moldova,0,0,9,9,0%,0%,5.67,5.56
Jordan,0,0,9,2,0%,0%,5.78,8
Denmark,0,0,9,1,0%,0%,7.78,11
Madagascar,0,0,8,4,0%,0%,5.75,6.5
Slovakia,0,0,8,3,0%,0%,7.25,9
Chad,0,0,8,1,0%,0%,8.62,12
Tunisia,0,0,8,16,0%,0%,9.62,13.38
Hungary,0,0,8,6,0%,0%,10.38,8.17
Taiwan,0,0,8,6,0%,0%,12,8.17
Sri Lanka,0,0,8,2,0%,0%,14.12,12
Lebanon,0,0,7,3,0%,0%,6.43,7
Mauritius,0,0,7,2,0%,0%,6.71,6.5
Mauritania,0,0,7,0,0%,0%,6.86,0
Croatia,0,0,7,3,0%,0%,7.43,6
Ghana,0,0,7,6,0%,0%,13.29,10.33
Nepal,0,0,6,2,0%,0%,6.67,10.5
Kuwait,0,0,6,0,0%,0%,7,0
Uganda,0,0,6,0,0%,0%,7,0
Montenegro,0,0,6,0,0%,0%,7.33,0
Mali,0,0,6,1,0%,0%,9.67,23
Ethiopia,0,0,6,6,0%,0%,13.33,17.17
Albania,0,0,6,2,0%,0%,17.5,10.5
Trinidad & Tobago,0,0,5,4,0%,0%,4.4,9.5
Cyprus,0,0,5,3,0%,0%,4.6,7.33
Syria,0,0,5,6,0%,0%,12,8.83
