Top pages,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
https://www.lanacanada.com/,14,16,302,175,4.64%,9.14%,7.86,5.77
https://www.lanacanada.com/he/blog/blog-renting-in-canada.html,8,3,190,96,4.21%,3.12%,6.65,7.71
https://www.lanacanada.com/fr/faq.html,7,0,405,30,1.73%,0%,4.57,9.7
https://lanacanada.com/fr/blog/blog-easiest-provinces-immigrate.html,7,0,84,0,8.33%,0%,6.82,0
https://www.lanacanada.com/fr/blog/blog-easiest-provinces-immigrate.html,5,2,219,42,2.28%,4.76%,4.49,4.14
https://www.lanacanada.com/he/,5,3,31,14,16.13%,21.43%,4.55,10.14
https://www.lanacanada.com/ru/temporary-closed-work-permit.html,4,0,31,3,12.9%,0%,6.35,31
https://www.lanacanada.com/blog/blog-renting-in-canada.html,3,1,297,124,1.01%,0.81%,8.07,7.6
http://www.lanacanada.com/,3,3,250,192,1.2%,1.56%,6.45,7.66
https://www.lanacanada.com/ru/blog/blog-ukraine-status-extension-2027.html,3,1,63,4,4.76%,25%,5.86,4.25
https://www.lanacanada.com/ru/,3,0,18,6,16.67%,0%,3.39,6
https://www.lanacanada.com/blog/blog-increase-crs-score.html,2,1,948,66,0.21%,1.52%,12.08,15.7
https://www.lanacanada.com/blog/blog-fastest-immigration-programs.html,2,0,314,18,0.64%,0%,5.61,12.61
https://www.lanacanada.com/blog/blog-minimum-crs-score-2026.html,2,0,277,101,0.72%,0%,8.32,12.89
https://www.lanacanada.com/our-team.html,2,1,130,52,1.54%,1.92%,8.81,5.1
https://www.lanacanada.com/fr/why-work-with-consultant.html,2,0,127,6,1.57%,0%,8.2,20
https://www.lanacanada.com/ru/blog/blog-express-entry-2026.html,2,5,108,123,1.85%,4.07%,6.79,6.72
https://www.lanacanada.com/fr/blog/blog-studying-in-canada-2026.html,2,0,94,10,2.13%,0%,10.61,7.6
